post_content,model_usefulness,моя оценка със санкция,разлика,категоризиране
""" 8 юни, Централен военен клуб, 19:30 ВРОЦЛАВСКИ БАРОКОВ АНСАМБЪЛ (Полша), Диригент: Анджей Косендяк Програма: К. ФЬОРСТЕР – син – Credo quod redemptor Г. ГОРЧИЦКИ – Conductus funebris К. ФЬОРСТЕР – син – Quanta fecisti Domine Й. С. БАХ – Кантата Laß, Fürstin, laß noch einen Strahl, BWV 198 16 юни, зала “България”, 19.30 ВАДИМ ГЛУЗМАН и Оркестър Cantus Firmus Програма: Л. АУЕРБАХ – T’filah (Молитва) за соло цигулка Й. С. БАХ – Концерт за цигулка в ми мажор, BWV 1042 ДМ. ШОСТАКОВИЧ – Камерна симфония Б. БАРТОК – Румънски танци Ч. АСКИН/М. ГЛУЗМАН – Сюита по израелски народни песни Програмата на ""Софийски музикални седмици"" до края на май. 22 май, 19 ч. – Зала „България“ – Софийска филхармония със солисти Александрина Пендачанска – сопран и Шломо Минц – цигулка и Карло Тенан – диригент. В програмата: Вагнер, Брух, Рихард Щраус. 23 май, 19 ч. – Камерна зала „България“ – Зорница Иларионова – цигулка и Божана Павлова – китара. В програмата: Паганини, Масне, Барток, Пиацола. 24 май, 19 ч. – Камерна зала „България“ – 125 г. Бончо Бочев – Камерна капела „Полифония“ с диригент Людмила Герова, Светла Анчева – обой, на рояла Ивелина Иванчева и Атанас Атанасов. В програмата: Й. С. Бах, Хендел, Бенедето Марчело, Тодор Попов, Морис Дюруфле, Барток, Пуленк, Вельо Тормис, Димитър Петков, Ивелин Димитров. 26 май, 17.30 ч. – Камерна зала „България – Tempi concertati – вечер в памет на Драгомир Йосифов с участието на солисти от Пловдивска опера и Цветана Иванова – пиано. В програмата: Лазар Николов, Васил Казанджиев, Драгомир Йосифов. В 19 ч. в Студио „Музика“ прожекция на операта „Чичовци“ от Лазар Николов, заснета в Пловдивска опера. 27 май, 19 ч. – Камерна зала „България“ – Шопенов рецитал на Мария Яковчева – сопран и Жени Захариева – пиано. 28 май, 19 ч. – Зала „България“ – Плевенска филхармония с концерт „Росен Гергов&синове“. Солисти: Лео Гергов – пиано, Рей Гергов – виолончево, Кай Гергов – цигулка, диригент Росен Гергов. В програмата: Моцарт, Сен Санс, Брух, Сибелиус. 28 май, 19 ч. – Камерна зала „България – Трио „Видас“ – Филип Ансион – кларинет, Катрин Лебрюн – виолончело, Мая Трайкова – пиано. В програмата: Бетовен, Фредерик Девреезе, Пламен Джуров, Глинка, Нино Рота. 29 и 30 май, 19 ч., зала „България“ – Софийска филхармония с Веско Ешкенази – цигулка и Мартин Пантелеев – диригент. Популярни пиеси за цигулка и оркестър от Сен Санс, Чайковски, Пиацола. 31 май, 19 ч. – Зала НХГ – Втори концерт „По Владигеровски“: румънски и български изпълнители с творби от Джордже Енеску и Панчо Владигеров. Участват: Сабин Лавиниу Пеня –цигулка, Александра Амарией – пиано, Андрея Мирчев – тенор, Надежда Малчева –пиано, Слава Атанасова – цигулка, Констанца Дюлгерова – пиано. Със съдействието на Национален музей „Джордже Енеску“ Букурещ и с подкрепата на Посолството на Румъния в Република България.""",0.3,0.1,0.20,Надценен
""" КОЛЕДЕН ПАНАИР НА КНИГАТА: 10-15 декември в НДК: изд. Еднорог : Орхан Памук, Айфер Тунч (щанд 305) изд. Сиела : Зулфа Катух, Афар Хафизи, Надя Хашими, Ахмет Алан, Хакан Йел, Кияш Монсеф, Седжал Бадани, Хатидже Мерием (щанд 109, 112) изд. Рива : Халиде Едип Адървар, Решат Нури, Лятифе Текин, Буркан Сьонмез, Ибрахим Карахасан-Чънар (щанд 313) изд. Емас : Мерджан Камали, Махтоб Махмуди, Суад, Шукрана Макфейдиън (щанд 315) изд. Колибри: Балсам Карам, Кюршат Бахар, Гузел Яхина, Салман Рушди, Ахмет Юмит (щанд 314) изд. Вакон : Ясмин Азад, Надя Мурад, Манал Ал Шариф, Салман Рушди (щанд 206) изд. Унискорп: Нихат Ел Хашми, Решат Нури Гюнтекин, Чингиз Айтматов (щанд 113) изд. Хермес: Фадия Факир, Орхан Кемал (щанд 333) изд. Ера: Башар Саян (щанд 332) изд. Прозорец : Марина Немат, Махани Алауи, Дефне Сума (щанд 212) изд. Обсидиан : Халед Хосейни (щанд 116) ИК Памет : Солмаз Кямуран, Муратхан Мунган, Аслъ Пекер изд. Анишър: Елиф Шафак изд. Киви: Ясмин Азад изд. Фама: Халил Джубран изд. Златорогъ: Бети Махмуди изд. Бард: Сердар Юзкан (щанд 324) изд. Делакорт: Хакан Гюндай изд. Егмонт: Тахере Мафи изд. Aspirius: Назъм Хикмет изд. Прометей: Туна Киремитчи изд. Кръг: Аутер Адими (щанд 410) изд. Аквариус: Билге Карасу (щанд А4) изд. Труд: Туна Киремитчи, Хакан Хюндай (щанд 203) изд. Делакорт: Хакан Гюндай изд: Scripta Moderna: Салим Кахена изд. Интенс : Решат Нури Гюнтекин (щанд 106) изд. Летера: Гюлсерен Будайджъоолу, Феридун Заимоолу, Мехмет Рауф, Демет Алтънйелеклиоолу изд. Весела Люцканова: Селим Илари, Туна Киремитчи, Хакан Бъчакчъ изд. Кибеа: Хакан Менгюч изд. Ерго: Селчук Алтун изд. Хеликон: Омар Хаям изд. Фабрика за книги: Даян Шаер изд. Нов човек: Мосаб Хасан Юсуф изд. Книгомания: Руми (щанд 111) изд. Слънце: Решат Нури Гюнтекин (щанд 204) изд. Жанет 45 : Зюлфю Ливанели, Мохсин Хамид, Кадер Абдола, Паринуш Сании, Рауи Хадж, Фабио Джеда, Намък Кемал, Ибрахим Шинаси, Дженаб Шахабеддин, Хасан Еркек, Джевад Чапан, Гюлсели Инал, Нихат Йоздал, Сунай Акън, Тунджер Джюнджеоолу, Джеват Чапан, Хилми Явуз, Йоздемир Индже, Атаол Бехрамоолу, Юлкю Тамер, Гювен Туран, Налян Барбаросоолу, Мюге Ипликчи (щанд 325)""",0.2,0.1,0.10,Ок
"""Книгите на Надя Хашими с 20% отстъпки, на шатра 20 - изд. Сиела Книгите на Салман Рушди с 30% отстъпки, на шатра 21 - изд. Еднорог Книгите на Паринуш Сании с 20% отстъпки, на шатра 22 - изд. Жанет 45 Книгите на Орхан Памук с различни отстъпки, на шатра 37 - изд. Еднорог Книгите на Халед Хосейни с 20% отстъпки, на шатра 5 - изд. Ентусиаст и много други.. на Пролетния панаир на книгата пред НДК до 1 юни вкл. #BGMammaЧете""",0.2,0.1,0.10,Ок
"""Програма на CULTURAMA, 2025 13.06.2025 - 19:00 - Национален археологически институт с музей - БАН ЖОРДИ САВАЛ & ХЕСПЕРИОН XXI 14.06.2025 - 19:30 - Градина „КРИСТАЛ“ (в случай на дъжд ЛАРГО - Площад „Нeзависимост“) NATURAL TANGO, концерт на BANDONEGRO Михал Главка - Бандонеон/акордеон Якуб Чехович -Цигулка Марек Долецки -Пиано Марчин Анковяк -Контрабас 15.06.2025 - 20:00 - Хотел Хилтън, Бар-Градина Концерт на Тrio ANAE - Бразилия 21.06.2025 - 19:00 - Зала България 150 ГОДИНИ РАВЕЛ: Концерт на ИНА КЪНЧЕВА сопрано & ЕМАНУИЛ ИВАНОВ пиано Симфоничен оркестър Враца, диригент ХРИСТО ПАВЛОВ 22.06.2025 - 20:00 - Хотел Хилтън, Бар-Градина Концерт на: СОКРАТИС СИНОПУЛОС КВАРТЕТ - METAMODAL Сократис Синопулос, лира Ян Кеерим, пиано Димитрис Цекурас, бас Димитрис Емануил, барабани 25.06.2025 - 19:00 - Софийска Градска Художествена Галерия „НОЩНА ГРАДИНА“: Пиано рецитал на 4 ръце: ТАМАЙО ИКЕДА & ЕМАНУИЛ ИВАНОВ В програмата: творби от Морис Равел 26.06.2025 - 19:00 - Национална Галерия „Двореца“ пл. „Княз Александър I“ No 1, „ОРИЕНТ ЕКСПРЕС” - TRANSITIONS Пътуване във времето и пространството ИНА КЪНЧЕВА – сопран КИТО ГАТО – теорба, китари ÁЛВАРО ГАРИДО– мулти-перкусии ДАВИДЕ МОНТИ – цигулка ХУАН УЛИБАРИ – флейта, кларинето и др. МАРКО ФРЕЦАТО – виолончело СОКРАТИС СИНОПУЛОС –лира ХАКАН ГЮНГЮР – канун ДИМИТЪР КАРАМФИЛОВ – контрабас 28.06.2025 - 19:30 - Градина „КРИСТАЛ“ „БГ МУЗИКА ЗА ТРОМПЕТИ“ И ИЗВЕСТНИ СОЛИСТИ - ВХОД СВОБОДЕН МИХАИЛ ЙОСИФОВ, СТОЯН СТОЯНОВ, ПЕТЪР МАКЕДОНСКИ, АЛИН БУДКА, заедно със Симфоничния оркестър на Враца, диригент ХРИСТО ПАВЛОВ""",0.3,0.1,0.20,Надценен
"""Наскоро още някой се оплака от лепнене на пластмасата. Няма смисъл, освен, ако не попаднеш на някой добър втора употреба. Има хора, ползват малко време някой четец и си купуват по-нов, съответно продават стария, който си работи без проблем. Вземи си един неразпечатан Paperwhite, дебни малко в ОЛХ и в Базар за по-изгодна цена. Много хора купуват от амазон на промоции и после ги продават. А можеш и ти да си купиш от Амазон. Казаха, че от немския имало безплатна доставка до Бг, но не съм сигурна. Който е пазарувал от там, да каже как става, кога има промоции. Boox може и да са много читави, но още не са навлезли така масово и не са толкова тествани имат ли слаби места. Киндълите са здрави и изпитани с години. Единственото неудобство е, че не четат epub формат и заради това не можеш да ползваш повечето купени ел. книги, заради ДРМ защита. Но Сиела предоставят в моби формат за киндъл. От тях може да купуваш книги. Също тези без защита, ако ги няма във формат за киндъл, могат да се конвертират. По рано това се правеше с програма Калибри, а сега нета е пълен с онлайн конвертори. Качваш книгата от компа и след минута я получаваш конвертирана в моби. После си я качваш на киндъла. В Читанката има линк с моби формат за киндъли, от където можеш да си сваляш всички налични директно на киндъла. https://pechkov.chitanka.info/mobi/index.php Първия път го изписваш на ръка в браузъра и го букмаркваш (запаметяваш). Виж го на компа как са подредени книгите по автори. Всъщност, това е главният въпрос, за да избереш киндъл, или друг четец, който чете epub - предимно какви книги искаш да четеш - нови със защита от Озон и др., които не предоставят в моби формат за киндъл, или ще сваляш свободно от читанката и други подобни сайтове. Като се научиш да го ползваш и му свикнеш, после вече ще знаеш какво искаш, на кои функции държиш и т.н., ако решиш да си купиш нов. Купуваш си и калъф с магнит, да го изключва и вклюва, търсиш точно за твоя модел четец, че имат разлика в размера. ПС Тези от линковете, които съм сложила в скрития текст, са прекалено стари модели. ППС Виж разликата в цената на Kindle Paperwhite, модел 2024 година, 7 инча, 16 GB памет - 360 лв в ОЛХ с/у 429 в Технополис - 70 лв. разлика. https://www.olx.bg/d/ad/kindle-paperwhite-model-2024-godina-7-incha-CID632-ID81UZ1.html?reason=seller_profile https://www.technopolis.bg/bg/Elektronni-chetci/Elektronen-chetec-KINDLE-PAPERWHITE-2024-GEN-12-16GB-BK/p/506421 Ако не ти се дават толкова пари, този също ми изглежда ок - 280 лв, за Kindle paperwhite 6,8 инча, 16gb памет, 11 gen. https://www.olx.bg/d/ad/chetets-kinhttps://readerbg.com/kindle-paperwhitedle-paperwhite-6-8-16gb-11-gen-CID632-ID9sVok.html Тук можеш да видиш параметрите му https://readerbg.com/kindle-paperwhite Ако си от София, искай лично предаване, ще видиш дали е нов, преди да го купиш, да ти покажат някои функции.""",0.9,0.75,0.15,Надценен
""" https://artline-store.net/nar-chnik-za-veschici-na-tifani-sbolki.html !++|IMAGE|++! Очаквайте скоро > Наръчник за вещици на Тифани Сболки Може да е при вас: 28.XI.2024 Кат. No BKBK0021202N Мъдростта на Тифани Сболки и някои от най-почитаните вещици от света на Диска достига читателите от Кръглия свят чрез писателките Риана Пратчет и Габриел Кент. Изпъстрен с цветните илюстрации на Пол Кидби, този брилянтен наръчник чудесно допълва колекцията „Светът на Диска“. 27 ,00 лв . 30,00 -10% Този красив и ценен наръчник е съставен от самата Тифани и включва късчета от мъдростта на нейната баба Сболки, както и бележки от Баба Вихронрав, Леля Ог, госпожица Загадини и Сите О’Бери, които предлагат собствената си гледна точка по всички вещерски въпроси. Настоящата книга е извор на вдъхновение както за неопитни, така и за изкусни вещици. Всички характеристики Всички характеристики издателство : Архонт – О автор : Риана Пратчет + преводач : Рая Делчева редактор : Кристина Димитрова твърда корица с обложка размери = 16.4 x 20.5 см език : Български страници : 208 жанр : Фентъзи илюстрации : цветни 2024 г. & @ртлайн — намаления на др. заглавия/колекции """,0.2,0.1,0.10,Ок
"""ДНИ НА АКАДЕМИЧНАТА КНИГА 25% отстъпка на всички издания на Университетско издателство 3-9 юни 2025 г. В нашите книжарници и онлайн на www.unipress.bg """,0.2,0.05,0.15,Надценен
"""В немския Amazon отново има намаления на Kindle и други устройства: !++|URL|++! Kindle Kids в момента е с 15% отстъпка, а по-големият Paperwhite Kids – с 17%. Ако си на пазар за черно-бял Kindle с оригинален калъф, това са едни от най-добрите оферти извън големите промоции като Black Friday, Prime Day и т.н.""",0.3,0.2,0.10,Ок
"""Спокойно четеш на тъмно и целия екран е равномерно осветен. Аз си държа подсветката включена на 10 от 24 и денем и нощем. В тази обява, на 5-та снимка е показана подсветката. https://bazar.bg/obiava-48919569/chetets-kindle-paperwhite-7-generation-s-podsvetka Виж и тази, на същата цена неразпечатани, но пак не са Paperwhite + калъф https://www.olx.bg/d/ad/kindle-2022-16gb-6-originalen-kalaf-chisto-nov-garantsiya-CID632-ID9xzTH.html """,0.3,0.45,-0.15,Подценен
""" !++|IMAGE|++! Предишната тема: https://www.bg-mamma.com/?topic=1749545 ВАЖНО! Желателно е, когато споделяте впечатление от дадена книга, да внимавате как го правите. Това предупреждение не цели въобще да ви откаже от споделяне или питания, напротив! Но често, все още под въздействието на емоцията от прочетена книга, се прибързва в споделянето. Нека коментирането на ключови моменти, развръзка, убиец и въобще всичко, свързано със съдържанието, което би разкрило важна информация, да бъде поставяно в скрит текст! За целта вмъкнете текста, който искате да скриете, между скобите [спойлер][/спойлер], на латиница – spoiler. Код: текст Уважавайте правото на непрочелите все още книгата да ѝ се насладят максимално, когато решат! Как да поставите картинка в мнение: – когато желаете да покажете корица на книга, която четете, е необходимо да копирате и сложите адреса на картинката между отварящ и затварящ таг за изображение, т.е. между img и /img, поставени в скоби – [имг] [/имг]. Код: !++|IMAGE|++! – За намаляване на изображението ползвайте img height=250 или img height=300, след това адреса и накрая /img, съответно пак със скоби, ето и пример: Код: !++|IMAGE|++! (с един интервал между img и height) """,0.7,0.3,0.40,Много надценен
